A_CT,A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_LT,A_MC,A_PED,A_PEDAL,A_PEDAL_F,A_PED_F,A_RD,A_RELRD,FATALS,SCH_BUS,STATE,STATENAME,ST_CASE,YEAR
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10238,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10239,2018
2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,0,1,Alabama,10240,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10241,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10242,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10243,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10244,2018
1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,1,0,1,Alabama,10245,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10246,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10247,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,Alabama,10248,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,3,0,1,Alabama,10249,2018
2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10250,2018
2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10251,2018
3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10252,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10253,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10254,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10255,2018
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,Alabama,10256,2018
1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,0,1,Alabama,10257,2018
2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,Alabama,10258,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10259,2018
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,0,1,Alabama,10260,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10261,2018
1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,0,1,Alabama,10262,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10263,2018
3,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,0,1,Alabama,10264,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10265,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10266,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10267,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10268,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10269,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10270,2018
